<Mina_Ahadi>,<Abhar>
<Mohammad_Reza_Ameli_Tehrani>,<Tehran>
<Mohsen_Rafighdoost>,<Tehran>
<Morteza_Gholi_Khan_Hedayat>,<Tehran>
<Morteza_Mohammadkhan>,<Tehran>
<Mostafa_Chamran>,<Tehran>
<Mostafa_Mohammad-Najjar>,<Tehran>
<Mostowfi_ol-Mamalek>,<Tehran>
<Nasrollah_Entezam>,<Tehran>
<Nasser_Hejazi>,<Tehran>
<Nasser_Moghadam>,<Tehran>
<Parvaneh_Eskandari_Forouhar>,<Tehran>
<Parviz_Davoodi>,<Tehran>
<Parviz_Kazemi>,<Tehran>
<Parviz_Varjavand>,<Tehran>
<Piruz_Dilanchi>,<Tehran>
<Reza_Pahlavi>,<Tehran>
<Shahnaz_Pahlavi>,<Tehran>
<Tahmasb_Mazaheri>,<Tehran>
<Vosough_od-Dowleh>,<Tehran>
<Mohammad_Vali_Khan_Tonekaboni>,<Tonekabon>
<Shamseddin_Hosseini>,<Tonekabon>
<Mohammad_Bagher_Ghalibaf>,<Torqabeh>
<Nizam_al-Mulk>,"<Tus,_Iran>"
<Parviz_Fattah>,<Urmia>
<Sadegh_Mahsouli>,<Urmia>
<Kazem_Vaziri_Hamaneh>,<Yazd>
<Mohammad-Taqi_Mesbah-Yazdi>,<Yazd>
<Mohammad_Ali_Jafari>,<Yazd>
<Mohammad_Reza_Aref>,<Yazd>
