<Ghaem_Magham_Farahani>,<male>,"قائم مقام فراهانی"@fas
<Gholam-Ali_Haddad-Adel>,<male>,"غلامعلی حداد عادل"@fas
<Gholam-Hossein_Elham>,,"غلامحسين الهام"@fas
<Gholam-Hossein_Mohseni-Eje'i>,<male>,"غلامحسين اژه اي"@fas
<Gholamhossein_Karbaschi>,<male>,"غلامحسين كرباسچي"@fas
<Gholamreza_Nikpey>,<male>,"غلامرضا نيك پي"@fas
<Gholam_Hossein_Jahanshahi>,<male>,
<Gholam_Hossein_Nozari>,<male>,"غلامحسين نوذري"@fas
<Gholam_Hossein_Sadighi>,<male>,"غلامحسين صديقي"@fas
<Gholam_Reza_Aghazadeh>,<male>,"غلامرضا اقازاده"@fas
<Gholam_Reza_Azhari>,<male>,"ازهاري"@fas
<Ghorbanali_Dorri-Najafabadi>,<male>,"قربانعلی دری نجف ابادی"@fas
<Habibollah_Asgaroladi>,<male>,"حبيب الله عسكراولادي"@fas
<Habibollah_Bitaraf>,<male>,"حبیب الله بیطرف"@fas
<Habibollah_Peyman>,<male>,"حبیب‌الله پیمان"@fas
<Haji_Baba_Sheikh>,<male>,"حاجی باباشیخ"@fas
<Haji_Washington>,<male>,"حاجي واشنگتن"@fas
<Hajj_Mirza_Aghasi>,<male>,"حاجي ميرزا آقاسي"@fas
<Haj_Ali_Razmara>,<male>,"حاجیعلی رزم آرا"@fas
<Hamid-Reza_Assefi>,<male>,"اصفي"@fas
<Hamid-Reza_Haji_Babaee>,<male>,"حاجی‌بابایی"@fas
<Hamid_Baqai>,<male>,"حميدرضا بقايي"@fas
<Hamid_Behbahani>,<male>,"حمید بهبهانی"@fas
<Hamid_Chitchian>,<male>,
<Hamid_Mowlana>,<male>,"سیدحمید مولانا"@fas
<Hamid_Reza_Katouzian>,<male>,
<Hamid_Sajjadi>,<male>,"حميد سجادي"@fas
<Hasan_Arfa>,<male>,"حسن ارفع"@fas
<Hasan_Arsanjani>,<male>,"حسن ارسنجاني"@fas
<Hasan_Nazih>,<male>,"حسن نزيه"@fas
<Hashemi_Rafsanjani>,,"حجت الاسلام هاشمی رفسنجانی"@fas
<Hashem_Sabbaghian>,<male>,"هاشم صباغيان"@fas
<Hassan-i_Sabbah>,,"حسن صبّاح"@fas
<Hassan_Abbasi>,<male>,"حسن عباسي (تحليل گر سياسي)"@fas
<Hassan_Ali_Mansur>,<male>,"حسن علی منصور"@fas
<Hassan_Habibi>,<male>,"حسن حبيبي"@fas
<Hassan_Khomeini>,<male>,"سيدحسن خميني"@fas
<Hassan_Modarres>,<male>,"ايت الله مدرس"@fas
<Hassan_Nayebagha>,<male>,"حسن نايب اقا"@fas
<Hassan_Pakravan>,<male>,"حسن پاکروان"@fas
<Hassan_Pirnia>,<male>,"حسن پيرنيا"@fas
<Hassan_Rahimpour_Azghadi>,<male>,"حسن رحيم پور"@fas
<Hassan_Rouhani>,<male>,"حسن فریدون"@fas
<Hassan_Shariatmadari>,<male>,
<Hassan_Sobhani>,<male>,"حسن سبحانی"@fas
<Hassan_Taqizadeh>,<male>,"تقی‌زاده"@fas
<Heidar_Arfaa>,<male>,
<Hekmat_E_Shirazi>,<male>,
<Heydar_Moslehi>,<male>,"حيدر مصلحي"@fas
<Homa_Arjomand>,<female>,
<Hosein_Dadgar>,<male>,
<Hossein_Ala'>,<male>,"حسين علاء"@fas
<Hossein_Dehghan>,<male>,"حسين دهقان"@fas
<Hossein_Fardoust>,<male>,"ارتشبد فردوست"@fas
<Hossein_Fatemi>,<male>,"سیدحسین فاطمی"@fas
<Hossein_Ghods-Nakhai>,<male>,
<Hossein_Kamali>,<male>,"حسین کمالی"@fas
<Hossein_Namazi>,<male>,
<Hossein_Navab>,<male>,
<Hossein_Noori_Hamedani>,,
<Hossein_Saffar_Harandi>,<male>,"صفار هرندي"@fas
<Hushang_Ansary>,<male>,"هوشنگ انصاري"@fas
<Hussein-Ali_Montazeri>,<male>,"آیت آللهٔ حسینعلی منتظری"@fas
<Imam-Quli_Khan>,<male>,"امامقلي خان"@fas
<Iradj_Fazel>,<male>,"ايرج فاضل"@fas
<Iraj_Eskandari>,<male>,"ايرج اسكندري"@fas
<Iran_Teymourtash>,,
<Isa_Kalantari>,<male>,
<Ismail_Mumtaz>,<male>,"اسماعيل ممتاز"@fas
